id;name_eng;city_eng;country_eng;IATA;ICAO;timeZone
4084;Telluride Regional Airport;Telluride;United States;TEX;KTEX;-7,0
4085;Yinchuan Airport;Yinchuan;China;INC;ZLIC;8,0
4086;Mae Hong Son Airport;Mae Hong Son;Thailand;HGN;VTCH;7,0
4087;Rapid City Regional Airport;Rapid City;United States;RAP;KRAP;-7,0
4088;Mc Clellan-Palomar Airport;Carlsbad;United States;CLD;KCRQ;-8,0
4089;Bishop International Airport;Flint;United States;FNT;KFNT;-5,0
4090;Francisco Bangoy International Airport;Davao;Philippines;DVO;RPMD;8,0
4091;Madeira Airport;Funchal;Portugal;FNC;LPMA;0,0
4092;Maestro Wilson Fonseca Airport;Santarem;Brazil;STM;SBSN;-3,0
4093;Sihanoukville International Airport;Sihanoukville;Cambodia;KOS;VDSV;7,0
